,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-13,40.06,20.46,42.07,37.15,120.22,51.49,35.91,29.93,19.59,48.3,24.09,39.02,130.15,58.49,29.17,51.53,12.13,25.84,13.48,78.94,19.36,37.41,44.73,53.35,14.35,27.87,99.95,67.98,19.67,26.81,29.9,49.51,33.16,31.94,11.02,1.42,22.04,25.96,17.17,22.46,20.62,4.26,17.39,78.71,48.04,73.79,39.24,28.43,44.01,34.52,10.45,5.39,5.33,14.42,68.02,33.7,56.11,17.89,45.01,20.13
2009-04-14,39.57,18.43,42.03,37.04,118.31,50.56,35.31,30.09,19.35,48.29,24.27,38.68,115.11,57.29,28.9,51.12,11.51,25.4,13.34,77.22,19.02,37.03,44.21,52.94,13.86,27.06,99.27,66.58,18.27,26.65,29.48,48.2,32.7,30.95,10.09,1.52,21.91,25.34,17.33,22.41,20.56,4.3,16.47,75.85,47.25,72.91,39.26,27.28,43.93,34.12,10.47,5.32,5.36,14.07,67.7,30.7,54.82,17.93,44.95,19.41
2009-04-15,39.7,20.62,42.21,37.57,117.64,52.04,35.28,30.83,18.83,49.13,24.52,39.2,121.19,58.03,29.04,51.29,11.83,25.0,13.86,74.71,18.71,37.04,45.03,53.73,14.38,27.45,98.85,66.7,19.55,27.4,29.24,48.04,33.02,30.99,10.44,1.6,22.23,25.67,17.01,22.87,20.89,4.04,16.57,77.11,48.75,74.33,39.85,27.9,44.3,34.85,10.2,5.36,5.44,14.02,68.14,32.56,53.95,17.56,45.6,19.96
2009-04-16,39.79,20.69,43.28,38.39,121.45,51.96,36.21,30.82,19.76,49.78,25.03,39.26,121.19,59.22,30.39,50.78,12.27,25.19,13.9,77.25,19.37,37.3,45.1,54.76,14.76,27.75,101.43,65.93,19.45,28.34,30.45,47.63,32.71,30.87,10.34,1.69,23.73,25.97,17.8,22.65,21.54,4.16,17.07,76.69,50.43,77.58,40.24,27.83,45.54,36.6,10.88,5.19,5.75,14.43,67.41,33.24,54.7,18.08,47.19,19.76
2009-04-17,40.17,21.81,42.51,38.32,123.42,52.13,37.49,30.59,19.2,50.24,25.3,38.55,120.6,60.82,30.02,50.2,12.39,26.37,14.16,78.05,19.7,36.52,45.02,53.81,14.48,27.64,101.27,66.01,20.26,28.42,30.14,47.24,32.29,30.93,10.6,1.62,23.22,26.1,17.97,22.67,21.72,4.0,17.52,77.14,51.66,76.94,40.1,28.5,46.55,36.3,11.06,5.22,5.92,14.39,66.75,33.26,56.09,17.99,47.81,19.39
2009-04-20,37.94,18.98,41.23,36.48,120.5,49.86,34.7,30.05,18.61,49.92,23.82,37.49,115.01,60.48,30.1,49.27,11.35,25.7,13.59,77.57,18.47,35.65,44.33,51.97,13.93,26.16,100.43,63.87,17.0,26.74,29.13,45.24,30.48,30.2,8.02,1.29,22.01,25.15,17.32,22.47,20.08,3.69,15.93,75.79,50.73,75.73,39.6,28.0,45.37,34.68,10.31,4.79,5.36,13.66,65.29,29.69,55.33,17.31,47.0,18.87
2009-04-21,38.71,19.57,41.09,36.65,121.76,49.35,34.71,30.92,18.97,49.95,24.29,38.29,120.36,60.6,30.62,49.83,11.7,26.23,13.52,78.74,18.88,35.62,43.09,53.29,14.27,26.27,102.31,64.88,18.81,28.06,30.21,46.53,31.39,30.32,8.76,1.46,22.22,25.87,17.11,22.75,20.38,3.8,16.32,76.47,51.37,76.04,40.03,28.14,46.47,35.43,10.55,5.08,5.56,14.38,66.23,32.53,55.63,17.69,47.88,19.19
2009-04-22,38.06,19.43,41.3,37.3,121.51,47.98,34.67,29.29,18.78,49.78,25.64,38.64,120.49,59.23,29.86,48.96,11.8,25.53,13.04,79.2,19.59,35.42,42.93,53.06,14.05,26.21,102.55,63.75,18.18,27.74,30.28,46.03,32.45,30.19,8.26,1.43,22.33,26.17,17.65,22.44,20.5,4.28,16.42,78.29,49.6,74.85,39.35,28.34,48.23,34.68,10.63,4.85,5.67,14.48,64.75,31.9,54.25,17.44,47.78,18.7
2009-04-23,39.93,20.97,44.04,37.93,125.4,47.89,34.53,29.11,18.92,49.37,25.72,40.23,122.81,58.97,29.35,48.86,11.88,25.88,13.28,80.61,22.0,36.78,42.92,54.21,13.61,26.55,101.42,65.53,20.09,27.46,29.57,48.54,32.45,30.74,8.82,1.5,21.75,25.76,17.34,22.27,21.29,4.49,16.14,80.0,49.32,77.36,39.11,28.2,49.5,34.76,10.72,4.91,5.74,14.55,65.71,33.21,55.3,17.62,48.87,19.23
2009-04-24,41.21,25.3,43.82,38.72,123.9,48.52,34.14,29.34,20.91,49.31,26.89,41.56,121.3,59.16,29.59,47.87,12.11,26.61,13.17,84.46,22.3,36.85,42.79,57.0,13.89,26.81,100.08,66.6,21.4,28.78,29.73,50.85,33.63,30.65,9.1,1.46,22.33,26.31,17.88,22.26,21.68,5.0,16.36,80.92,49.51,77.08,38.94,28.31,49.18,35.8,11.05,5.25,5.95,14.73,66.57,33.38,54.31,18.42,48.86,19.36
